,entry_id,tester_id,created_at,keystroke_sequence
27,be69a2a0-7972-11ed-9421-5535258a0716,0e9aebe0-7972-11ed-9421-5535258a0716,1670776924618,"{""28"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""down"",""right"",""down"",""down"",""left"",""won""]}"
28,c06d3ad0-7972-11ed-9421-5535258a0716,0e9aebe0-7972-11ed-9421-5535258a0716,1670776927997,"{""29"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""left"",""down"",""won""]}"
29,c473cef0-7972-11ed-9421-5535258a0716,0e9aebe0-7972-11ed-9421-5535258a0716,1670776934751,"{""30"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""down"",""left"",""won""]}"
30,2bbf3fa0-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776678554,"{""1"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""down"",""down"",""down"",""right"",""up"",""left"",""up"",""up"",""left"",""left"",""down"",""left"",""left"",""left"",""up"",""left"",""up"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""won""]}"
31,3c5305e0-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776706366,"{""2"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""down"",""left"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""right"",""down"",""left"",""won""]}"
32,42e91e80-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776717417,"{""3"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""down"",""right"",""won""]}"
33,48976f30-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776726947,"{""4"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""up"",""right"",""up"",""up"",""up"",""up"",""won""]}"
34,4efa69e0-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776737662,"{""5"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""left"",""down"",""down"",""right"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""up"",""up"",""left"",""left"",""won""]}"
35,5667cfb0-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776750123,"{""6"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""up"",""up"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""up"",""left"",""left"",""won""]}"
36,5d8bf780-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776762104,"{""7"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""up"",""left"",""up"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""down"",""won""]}"
37,66fad2a0-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776777930,"{""8"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""left"",""left"",""right"",""down"",""down"",""right"",""down"",""down"",""left"",""left"",""down"",""down"",""down"",""down"",""right"",""right"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""up"",""right"",""up"",""down"",""up"",""up"",""up"",""up"",""left"",""up"",""won""]}"
38,6ce8c460-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776787878,"{""9"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""won""]}"
40,71f38210-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776796337,"{""10"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""up"",""up"",""left"",""left"",""left"",""won""]}"
42,77dcb8e0-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776806254,"{""11"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""up"",""right"",""up"",""up"",""right"",""up"",""up"",""left"",""up"",""won""]}"
44,7c9d9c50-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776814229,"{""12"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""up"",""up"",""left"",""left"",""left"",""up"",""won""]}"
46,83b62b60-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776826134,"{""13"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""left"",""down"",""left"",""down"",""down"",""left"",""left"",""left"",""down"",""down"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""down"",""right"",""won""]}"
48,86d23870-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776831351,"{""14"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""up"",""left"",""left"",""left"",""won""]}"
50,8c488930-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776840515,"{""15"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""down"",""won""]}"
52,a3edb290-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776880185,"{""16"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""left"",""down"",""down"",""down"",""down"",""left"",""left"",""won""]}"
54,a5e05ad0-7972-11ed-a3bb-674c56c9a5f7,14914210-7972-11ed-a3bb-674c56c9a5f7,1670776883453,"{""17"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""won""]}"
